Attraction,latitude,longitude,address,hierarchy,id,Version,Place
Hillier Lake,-34.095,123.2027778,4QQ5W643+24,None,ChIJl6199mWiXioRMsmsO5HKvP0,v1.0.0,Australia (Unknown)
Lizard Island (Great Barrier Reef),-14.6680433,145.463777,5RQ78FJ7+QG,None,ChIJEZ70k1kgnmkRDAgKSRJcxuQ,v1.0.0,Australia (Unknown)
Whitehaven Beach (Whitsunday Island),-20.2824324,149.038854,5RFFP29Q+2G,None,ChIJoaPzNjlU2GsRHk5q-HH-i4A,v1.0.0,Australia (Unknown)
Great Ocean Road,-38.6804339,143.3915596,"5225 Colac-Lavers Hill Rd, Lavers Hill VIC 3238, Australia","Victoria, Australia",ChIJMcyMyFMh02oRldDR8MOJbqA,v1.0.1,Australia (Victoria)
Great Ocean Road,-38.6804339,143.3915596,"5225 Colac-Lavers Hill Rd, Lavers Hill VIC 3238, Australia","Victoria, Australia",ChIJMcyMyFMh02oRldDR8MOJbqA,v1.0.0,Australia (Victoria)
Great Ocean Road,-38.6804339,143.3915596,"5225 Colac-Lavers Hill Rd, Lavers Hill VIC 3238, Australia","Victoria, Australia",ChIJMcyMyFMh02oRldDR8MOJbqA,v1.0.1,Australia (Victoria)
Great Ocean Road,-38.6804339,143.3915596,"5225 Colac-Lavers Hill Rd, Lavers Hill VIC 3238, Australia","Victoria, Australia",ChIJMcyMyFMh02oRldDR8MOJbqA,v1.0.0,Australia (Victoria)
Great Ocean Walk,-38.8030987,143.4571761,"Great Ocean Walk, Glenaire VIC 3238, Australia","Victoria, Australia",ChIJ_7HSW9Z4gqoR_HjATyUT7bo,v1.0.1,Australia (Victoria)
The Twelve Apostles,-38.6645738,143.1029791,"84P3+55 Princetown VIC, Australia","Victoria, Australia",ChIJDz1H5hWegqoRMfiDyQGd0tE,v1.0.1,Australia (Victoria)
Monkey Mia Dolphin Experience,-25.7937776,113.7198359,"1 Monkey Mia Rd, Monkey Mia WA 6537, Australia","Western Australia, Australia",ChIJ94129tQY4SsRUhW3_FZw8C4,v1.0.1,Australia (Western)
Ningaloo Reef,-22.704723,113.6754832,"7MWG+45 Ningaloo WA, Australia","Western Australia, Australia",ChIJleEOSslA_CsR-gksTXGYlW4,v1.0.1,Australia (Western)
Pinnacles Desert,-30.591275,115.1581522,"C555+F7 Nambung WA, Australia","Western Australia, Australia",ChIJVVJhIJMm0isRGCL6h2V0xCA,v1.0.1,Australia (Western)
Purnululu (Bungle Bungle Range),-17.4891658,128.3702558,"G96C+84 Purnululu WA, Australia","Western Australia, Australia",ChIJm1naQqdKnCwReDaoERB1gNo,v1.0.1,Australia (Western)
Karijini National Park,-22.6751716,118.2889234,5P9W87FQ+WH,None,ChIJI897ZRG98isRUHeLBzn2AA8,v1.0.1,Australia (Western)
Leutasch Gorge,47.4277845,11.2354441,"Schanz 273a, 6105 Leutasch, Austria","Tirol, Austria",ChIJhZZgy-oOnUcRkx8JC13WRMA,v1.0.0,Austria
Blancaneaux Lodge,17.0369372,-88.95366960000001,"22PW+QGG, Blancaneaux, Belize","Cayo, Belize",ChIJn9Z4YRHVXY8R76f3q-4b0i0,v1.0.0,Belize
Cayó Espanto (Belize),17.9474977,-88.12273239999999,"WVWG+XW San Pedro, Belize","Corozal, Belize",ChIJU3IbXCyBXI8REbnwwWpVg5U,v1.0.0,Belize
Chaa Creek Lodge,17.1082459,-89.0734319,"4W5G+7J San Ignacio, Belize","Cayo, Belize",ChIJ_5JKVdxnXo8RnQqXSJM1Gi4,v1.0.0,Belize
Copal Tree Lodge,16.1663055,-88.81178279999999,"558Q+G7 Forest Home, Belize","Toledo, Belize",ChIJd8aOVW-1YI8RteV6z4uMjDE,v1.0.0,Belize
Matachica Resort (Belize),17.9845259,-87.9216093,"X3MH+R9 San Pedro, Belize","Corozal, Belize",ChIJHR8iDPBhW48R_goJ8kudc5o,v1.0.0,Belize
Turtle Inn,16.5309743,-88.3614214,"GJJQ+CF2, Placencia, Belize","Stann Creek, Belize",ChIJayd43iqIXY8RiFNeDMcjfjE,v1.0.0,Belize
Great Blue Hole,17.3159545,-87.53468509999999,769J8F88+94,None,ChIJe3X-RHYrQ48RuziFIP3fRDI,v1.0.1,Belize
Great Blue Hole,17.3159545,-87.53468509999999,769J8F88+94,None,ChIJe3X-RHYrQ48RuziFIP3fRDI,v1.0.1,Belize
Great Blue Hole,17.3159545,-87.53468509999999,769J8F88+94,None,ChIJe3X-RHYrQ48RuziFIP3fRDI,v1.0.1,Belize
Great Blue Hole,17.3159545,-87.53468509999999,769J8F88+94,None,ChIJe3X-RHYrQ48RuziFIP3fRDI,v1.0.1,Belize
Great Blue Hole,17.3159545,-87.53468509999999,769J8F88+94,None,ChIJe3X-RHYrQ48RuziFIP3fRDI,v1.0.1,Belize
Great Blue Hole,17.3159545,-87.53468509999999,769J8F88+94,None,ChIJe3X-RHYrQ48RuziFIP3fRDI,v1.0.1,Belize
Great Blue Hole,17.3159545,-87.53468509999999,769J8F88+94,None,ChIJe3X-RHYrQ48RuziFIP3fRDI,v1.0.1,Belize
Great Blue Hole,17.3159545,-87.53468509999999,769J8F88+94,None,ChIJe3X-RHYrQ48RuziFIP3fRDI,v1.0.1,Belize
Laguna Colorada,-22.2082719,-67.7735206,"Q6RG+MH Juntacha, Bolivia","de Potosí, Bolivia",ChIJoUBfgsY_qpYRh9o60iwX090,v1.0.1,Bolivia
Lake Titicaca Sun Island,-16.017232,-69.1779923,"XRMC+4R Challapampa, Bolivia","La Paz, Bolivia",ChIJM7cb5SnEXZERhkx6LZauTU8,v1.0.1,Bolivia
Salar de Uyuni Salt Hotel,-20.2804585,-66.98237630000001,"P299+R2 Colchani, Bolivia","Potosi, Bolivia",ChIJYw8q9UO1_5MRGscmX6ywAuY,v1.0.1,Bolivia
Salar de Uyuni,-20.1337772,-67.48913449999999,57FJVG86+F8,None,ChIJ14vhJbOEVZERtniCFToY5Aw,v1.0.1,Bolivia
Salar de Uyuni,-20.1337772,-67.48913449999999,57FJVG86+F8,None,ChIJ14vhJbOEVZERtniCFToY5Aw,v1.0.1,Bolivia
Salar de Uyuni,-20.1337772,-67.48913449999999,57FJVG86+F8,None,ChIJ14vhJbOEVZERtniCFToY5Aw,v1.0.0,Bolivia
Salar de Uyuni,-20.1337772,-67.48913449999999,57FJVG86+F8,None,ChIJ14vhJbOEVZERtniCFToY5Aw,v1.0.0,Bolivia
Salar de Uyuni,-20.1337772,-67.48913449999999,57FJVG86+F8,None,ChIJ14vhJbOEVZERtniCFToY5Aw,v1.0.1,Bolivia
Salar de Uyuni,-20.1337772,-67.48913449999999,57FJVG86+F8,None,ChIJ14vhJbOEVZERtniCFToY5Aw,v1.0.1,Bolivia
Salar de Uyuni,-20.1337772,-67.48913449999999,57FJVG86+F8,None,ChIJ14vhJbOEVZERtniCFToY5Aw,v1.0.0,Bolivia
Salar de Uyuni,-20.1337772,-67.48913449999999,57FJVG86+F8,None,ChIJ14vhJbOEVZERtniCFToY5Aw,v1.0.0,Bolivia
Salar de Uyuni Stargazing,-20.2399722,-67.58111,57FJQC69+2H,None,ChIJc9WGFE-bVZERrD0KjfhcPbg,v1.0.1,Bolivia
Chobe River Safari,-17.8168147,25.1385061,"54MQ+7CC Chobe Morning River Safari, Kasane, Botswana","Chobe, Botswana",ChIJhV3ZGaKdWhkRtoxbQj_bj7g,v1.0.1,Botswana
Chobe River Safari,-17.8168147,25.1385061,"54MQ+7CC Chobe Morning River Safari, Kasane, Botswana","Chobe, Botswana",ChIJhV3ZGaKdWhkRtoxbQj_bj7g,v1.0.1,Botswana
Chobe River Safari,-17.8168147,25.1385061,"54MQ+7CC Chobe Morning River Safari, Kasane, Botswana","Chobe, Botswana",ChIJhV3ZGaKdWhkRtoxbQj_bj7g,v1.0.1,Botswana
Chobe River Safari,-17.8168147,25.1385061,"54MQ+7CC Chobe Morning River Safari, Kasane, Botswana","Chobe, Botswana",ChIJhV3ZGaKdWhkRtoxbQj_bj7g,v1.0.1,Botswana
Duba Plains Camp (Duba Plains Reserve),-19.0205523,22.6978264,"XMHX+Q4 Kakoro, Botswana","North-West, Botswana",ChIJJQmXe8QoVhkRoncbBuWC0gA,v1.0.0,Botswana
Okavango Delta,-19.6510095,22.9058802,"8WX4+H9 Ranwanalenaus, Botswana","North-West, Botswana",ChIJJycNodZsVhkRrivLs87AFQQ,v1.0.1,Botswana
Kalahari,-22.328474,24.684866,5G96MMCM+JW,None,ChIJESJF0SFDpB4Re68Vhyp8ZPE,v1.0.0,Botswana
Anavilhanas Jungle Lodge (Amazonas),-2.6381103,-60.9242996,"936G+Q7 Novo Airão, AM, Brazil","Amazonas, Brazil",ChIJ-zppeocZbZIRk0UULcE3XR8,v1.0.0,Brazil (Amazonas)
Anavilhanas National Park (Amazonas),-2.5349814,-60.83612179999999,"F587+2H Valparaíso, Novo Airão - AM, Brazil","Amazonas, Brazil",ChIJqaqUc3oRbZIRa-FUBlEgc6w,v1.0.0,Brazil (Amazonas)
Bonito (Abismo das Anhumas),-21.1450618,-56.6001962,"V93X+XW Bonito, MS, Brazil","Mato Grosso do Sul, Brazil",ChIJ5TjkGlZgfJQRTNZTN9e1yfY,v1.0.0,Brazil (Mato Grosso do Sul)
Bonito (Buraco das Araras),-21.4918276,-56.4032334,"GH5W+7P São Joaquim - Jardim, MS, Brazil","Mato Grosso do Sul, Brazil",ChIJrSFCw73CfJQRFEU_St-mcQk,v1.0.0,Brazil (Mato Grosso do Sul)
Refugio Ecológico Caimán (Pantanal),-19.9544404,-56.30422859999999,"Estância Caiman S/N Zona Rural - Taunay, Miranda - MS, 79380-000, Brazil","Mato Grosso do Sul, Brazil",ChIJO5wt1KfwfpQR8ap69MgtdWk,v1.0.0,Brazil (Mato Grosso do Sul)
Pantanal Wetlands,-17.7166397,-57.38341269999999,58J47JM8+8J,None,ChIJUZ2-8i85hJMR7JnQWdFBuk0,v1.0.1,Brazil (Mato Grosso do Sul)
Serra do Caraça (Minas Gerais),-20.1333333,-43.5,"VG82+M2 Santa Rita Durão, Mariana - MG, Brazil","Minas Gerais, Brazil",ChIJF9YDsEMVpAARCtCEUcoxMi0,v1.0.0,Brazil (Minas Gerais)
Hotel Belmond das Cataratas,-25.6841773,-54.4388518,"Rodovia, 469 - Parque Nacional, Foz do Iguaçu - PR, 85855-750, Brazil","Paraná, Brazil",ChIJWZUzp3jq9pQRaUqL9AJx9Fg,v1.0.0,Brazil (Paraná)
Iguaçu (Parque das Aves),-25.6139228,-54.48256569999999,"Av. das Cataratas, 12450 - Vila Yolanda, Foz do Iguaçu - PR, 85859-899, Brazil","Paraná, Brazil",ChIJzSqJHuWT9pQRNz99UhJ_u5I,v1.0.0,Brazil (Paraná)
Parque Nacional da Foz do Iguaçu,-25.460508,-53.8177841,"G5QJ+QV Matelândia, PR, Brazil","Paraná, Brazil",ChIJPSROs21N8ZQRj6pUWNM8Y24,v1.0.0,Brazil (Paraná)
Rio de Janeiro,-22.9068467,-43.1728965,"Av. Alm. Barroso, 472 - Centro, Rio de Janeiro - RJ, 20031-002, Brazil","Rio de Janeiro, Brazil",ChIJW6AIkVXemwARTtIvZ2xC3FA,v1.0.0,Brazil (Rio de Janeiro)
Visconde de Maua (Rio de Janeiro),-22.3308242,-44.5324395,"Rodovia Vereador Quirino Resende - Minas Gerais, 27553, Brasil - Pedra Selada, Resende - RJ, Brazil","Rio de Janeiro, Brazil",ChIJX_iVSl1lngAR9y44JaUitbc,v1.0.0,Brazil (Rio de Janeiro)
Botanique Hotel & Spa,-22.7813415,-45.6627113,"Rua miguel henrique da silva 66, Campos do Jordão - SP, 12460-000, Brazil","São Paulo, Brazil",ChIJpbvN1u5jzJQRwgZet2WQWDI,v1.0.0,Brazil (São Paulo)
Lençois Maranhenses National Park (Bahía),-2.4859385,-43.128407,"GV7C+JJ Santo Amaro do Maranhão - State of Maranhão, Brazil","of Maranhão, Brazil",ChIJX745XuGe8QcR65t-1dCVKC0,v1.0.0,Brazil (Maranhão)
Fernando de Noronha,-3.8447976,-32.4268917,"5H4F+36 Fernando de Noronha - State of Pernambuco, Brazil","of Pernambuco, Brazil",ChIJVwsx1j_eNQYRiXV4A-F2Gg4,v1.0.1,Brazil (Pernambuco)
Rila Monastery,42.1334828,23.3401919,"Rila Monastery, 2643 Rilski manastir, Bulgaria","Kyustendil, Bulgaria",ChIJGdU6Hb_iqhQRInfCtfEKi-A,v1.0.1,Bulgaria
Banff Moraine Lake,51.3217416,-116.1860049,"8RC7+MH Lake Louise, AB, Canada","Alberta, Canada",ChIJF-WO9ctbd1MRlVzAw6KnyEI,v1.0.1,Canada (Alberta)
