Attraction,latitude,longitude,address,hierarchy,id,Version,Place
Torres del Paine,-51.25334429999999,-72.3516124,"Av. Bernardo O'Higgins 162, 6170000 Torres de Paine, Magallanes y la Antártica Chilena, Chile","Magallanes y la Antártica Chilena, Chile",ChIJmbm3Z8I3pb0RTTJY_vPk2QM,v1.0.1,Chile
Torres del Paine,-51.25334429999999,-72.3516124,"Av. Bernardo O'Higgins 162, 6170000 Torres de Paine, Magallanes y la Antártica Chilena, Chile","Magallanes y la Antártica Chilena, Chile",ChIJmbm3Z8I3pb0RTTJY_vPk2QM,v1.0.0,Chile
Valle del Silencio (Torres del Paine),-51.0217702,-73.0444244,"XXH4+76 Estancia Pudeto, Torres de Paine, Chile","Magallanes y la Antártica Chilena, Chile",ChIJQxCh-_E7pb0RTp-UAMIbTsE,v1.0.0,Chile
Atacama Desert,-23.8634189,-69.1328491,578G4VP8+JV,None,ChIJRxzvf1JGr5YR3COCqre7TQM,v1.0.1,Chile
Torres del Paine W Circuit,-50.9423262,-73.4067879,37X83H5V+37,None,ChIJB6_bgwEbpb0RWM4aRVcmn70,v1.0.1,Chile
Torres del Paine W Trek,-50.9423262,-73.4067879,37X83H5V+37,None,ChIJB6_bgwEbpb0RWM4aRVcmn70,v1.0.1,Chile
Mount Huangshan (Yellow Mountain),30.137803,118.165201,"45Q8+43 Huangshan District, Huangshan City, Anhui, China","Anhui, China",ChIJPY1nCYzGNTQRflFhHC-RbXA,v1.0.1,China (Anhui)
Great Wall at Mutianyu,40.432683,116.564006,"CHM7+3JC, Mutianyu Rd, Huai Rou Qu, Bei Jing Shi, China, 101406","Bei Jing Shi, China",ChIJKS2Kiggl8TURmHgLveqgKgQ,v1.0.1,China (Bei Jing Shi)
Jiayuguan Pass,39.804113,98.226503,"R63G+JJR, Jiayuguan, Jiayuguan City, Gansu, China, 735100","Gansu, China",ChIJY7HfiHkkyDcRZg-p0uIZa8U,v1.0.1,China (Gansu)
Wulingyuan Scenic Area,29.335749,110.481305,"China, Hu Nan Sheng, Zhang Jia Jie Shi, Wu Ling Yuan Qu, 军地坪 邮政编码: 427499","Hu Nan Sheng, China",ChIJUyM0FVwGmzYRBZfSzn_jkI8,v1.0.1,China (Hu Nan Sheng)
Tianmen Mountain National Park,29.05229,110.48003,"3F2J+W2 Tianmen Shan Town, Yongding District, Zhangjiajie, Hunan, China","Hunan, China",ChIJIwOzC1awmzYRNskruUrMRcY,v1.0.0,China (Hunan)
Tianzi Mountains,26.033209,111.899291,"2VMX+7P Shuangpai County, Yongzhou, Hunan, China","Hunan, China",ChIJ0Uxd1x79oDYRrtrwHUeihCY,v1.0.0,China (Hunan)
Wulingyuan Baofeng Lake,29.322562,110.552792,"8HF3+24 Wulingyuan District, Zhangjiajie, Hunan, China","Hunan, China",ChIJDWUltu4ImzYR07fga6IQttw,v1.0.1,China (Hunan)
Wulingyuan Glass Bridge,29.3982154,110.6962154,"9MXW+JV5, Cili County, Zhangjiajie, Hunan, China, 427234","Hunan, China",ChIJx-X060YNmzYR3DnNzEWGXC4,v1.0.1,China (Hunan)
Wulingyuan Tianmen Mountain,29.046809,110.482084,"2FWJ+PR Dapingzhen, Yongding District, Zhangjiajie, Hunan, China","Hunan, China",ChIJz7mBDfmwmzYRWPIk9Fgr6AU,v1.0.1,China (Hunan)
Zhangjiajie Glass Bridge,29.3982154,110.6962154,"9MXW+JV5, Cili County, Zhangjiajie, Hunan, China, 427234","Hunan, China",ChIJx-X060YNmzYR3DnNzEWGXC4,v1.0.1,China (Hunan)
Mount Kailash,31.0675,81.3119444,"3886+XQW, Burang County, Ngari Prefecture, Tibet, China, 859512","Tibet, China",ChIJa_vrGMqQpTkR-ofx8m4izt4,v1.0.1,China (Tibet)
Gansu Zhangye National Geopark,38.971941,100.44094,"China, Zhang Ye Shi, Gan Zhou Qu, CN 甘肃省 张掖市 甘州区 张掖国家湿地公园西门口停车场 邮政编码: 734099",China,ChIJcQqdEn4vtTcRY7nqYI5qzlE,v1.0.0,China (Unknown)
Gansu Zhangye National Geopark,38.971941,100.44094,"China, Zhang Ye Shi, Gan Zhou Qu, CN 甘肃省 张掖市 甘州区 张掖国家湿地公园西门口停车场 邮政编码: 734099",China,ChIJcQqdEn4vtTcRY7nqYI5qzlE,v1.0.0,China (Unknown)
Guoliang Tunnel,35.731287,113.603825,"CN 河南省 新乡市 辉县市 万仙山景区 1, 辉县市新乡市 China, 453648",China,ChIJAWFrjMQP2TURe-dZZFCYMrw,v1.0.0,China (Unknown)
Jiuzhaigou Valley,33.26004210000001,103.9185994,"China, A Ba Zang Zu Qiang Zu Zi Zhi Zhou, Jiu Zhai Gou Xian, 边边街3-8号 邮政编码: 623402",China,ChIJKWccnva99zYRxgz2tcjo_ck,v1.0.1,China (Unknown)
Mount Hua / Huashan Mountains (Shanxi),34.477861,110.084789,"China, Wei Nan Shi, Hua Yin Shi, 华山景区瓮峪站 邮政编码: 714299",China,ChIJr5Vfs4NuezYR1iFMFJ7iPa0,v1.0.0,China (Unknown)
Mt. Huashan (Road of the Dead),34.477861,110.084789,"China, Wei Nan Shi, Hua Yin Shi, 华山景区瓮峪站 邮政编码: 714299",China,ChIJr5Vfs4NuezYR1iFMFJ7iPa0,v1.0.0,China (Unknown)
Reed Flute Cave (Guillin),25.304409,110.273614,"China, Gui Lin Shi, Xiu Feng Qu, 芦笛岩 邮政编码: 541002",China,ChIJs8zoz1f0pDYRWhx3YnA2xV0,v1.0.0,China (Unknown)
Stone Forest,24.81677,103.32617,"China, Kun Ming Shi, Shi Lin Yi Zu Zi Zhi Xian, CN 云南省 昆明市 石林彝族自治县 100 米 邮政编码: 652207",China,ChIJ518e8PAQ0DYRlBfTYRTjoR0,v1.0.0,China (Unknown)
Wulingyuan Tianzi Mountain,29.379323,110.463655,"China, Zhang Jia Jie Shi, Wu Ling Yuan Qu, 天子山自然保护区 邮政编码: 427401",China,ChIJwbGc8zAEmzYR-lSxqBcxNog,v1.0.1,China (Unknown)
Wulingyuan Yellow Dragon Cave,29.353463,110.536384,"China, Zhang Jia Jie Shi, Wu Ling Yuan Qu, 袁家界景区 邮政编码: 427499",China,ChIJEfewKk0PmzYRZV_HI0-7nLs,v1.0.1,China (Unknown)
Zhangjiajie National Forest Park,29.315305,110.434767,"China, Zhang Jia Jie Shi, Wu Ling Yuan Qu, 国家森林公园袁家界风景区 邮政编码: 427403",China,ChIJoaxDGsqvmzYRbwukZex5gKE,v1.0.1,China (Unknown)
Zhangjiajie National Forest Park,29.315305,110.434767,"China, Zhang Jia Jie Shi, Wu Ling Yuan Qu, 国家森林公园袁家界风景区 邮政编码: 427403",China,ChIJoaxDGsqvmzYRbwukZex5gKE,v1.0.1,China (Unknown)
Parque Nacional Tayrona,11.3064409,-74.0657561,"8W4M+HM Santa Marta, Magdalena, Colombia","Magdalena, Colombia",ChIJTV_06iKL9I4RL4jby9wjV0g,v1.0.0,Colombia
Santa Rosa Waterfall,4.842333,-75.55276529999999,"RCRW+WV Santa Rosa de Cabal, Risaralda, Colombia","Risaralda, Colombia",ChIJcQk09kCDOI4REc8BTCDn4ZU,v1.0.0,Colombia
Tequendema Falls (Bogotá),4.5748595,-74.2933816,"HPF4+WJ Soacha, Cundinamarca, Colombia","Cundinamarca, Colombia",ChIJbaL905V0P44RojyYLnkg3vc,v1.0.0,Colombia
Caño Cristales,2.2642668,-73.79435149999999,67J87674+P7,None,ChIJl9088_W2Io4RkS0eSGtMsgU,v1.0.0,Colombia
Parque Nacional Sierra Nevada de Santa Marta,10.8292413,-73.6923443,7728R8H5+M3,None,ChIJKzTP8mYm9Y4RK1f9NTffGWM,v1.0.0,Colombia
Andaz Resort,10.641584,-85.658913,"J8RR+G5G, Guanacaste Province, Culebra, Costa Rica","Guanacaste, Costa Rica",ChIJQSGM1hqBdY8RxC6jlVmi-LI,v1.0.0,Costa Rica
"Bosque Nubloso de Monteverde, Puntarenas",10.2989417,-84.7681559,"76XJ+HP Alajuela Province, San Ramón, Costa Rica","Alajuela, Costa Rica",ChIJzxHsVYcZoI8RZs7pnue4L68,v1.0.0,Costa Rica
"Catara El Santuario, Upala",10.9030874,-85.3300818,"WM3C+C96, Provincia de Alajuela, Upala, Costa Rica","Alajuela, Costa Rica",ChIJ6ygsfOJrdY8R3aBF64DgIHA,v1.0.0,Costa Rica
Corcovado National Park,8.540835399999999,-83.57096399999999,"GCRH+8J Provincia de Puntarenas, Puerto Jiménez, Costa Rica","Puntarenas, Costa Rica",ChIJ9UsxeymBo48R9dxnGwzufHI,v1.0.0,Costa Rica
"Curubandé, Guanacaste",10.7197949,-85.4104706,"PH9Q+WR6, Guanacaste Province, Curubandé de Liberia, Costa Rica","Guanacaste, Costa Rica",ChIJ4_mlcuJkdY8RQJSpniHvDeU,v1.0.0,Costa Rica
El Silencio (Bajos del Toro),10.2043716,-84.30546609999999,"6M3V+PR Alajuela Province, Valverde Vega, Costa Rica","Alajuela, Costa Rica",ChIJP6wfD3FgoI8RQt7xu8drm2Y,v1.0.0,Costa Rica
Finca Bellavista (Fila Tortuga),8.786228399999999,-83.2117258,"QQPQ+F8 Puntarenas Province, Piedras Blancas, Costa Rica","Puntarenas, Costa Rica",ChIJ6-penp4_pI8RG9qhj2PmL7U,v1.0.0,Costa Rica
Glass Frog,10.7241384,-85.07384449999999,"PWFG+FQ, Provincia de Guanacaste, Upala, Costa Rica","Guanacaste, Costa Rica",ChIJf30D8VBQdY8RexqOklMBej8,v1.0.0,Costa Rica
Hacienda Alta Gracia (Perez Zeledón),9.3346252,-83.57711019999999,"8CMF+V5 San José Province, Pérez Zeledón, Costa Rica","San José, Costa Rica",ChIJ7a45p8aypo8RDWZhtLI5T_M,v1.0.0,Costa Rica
"Laguna de Hule, Alajuela",10.2946307,-84.2100935,"7QVQ+VX Provincia de Alajuela, Río Cuarto, Costa Rica","Alajuela, Costa Rica",ChIJ8725_d6LoI8RzV9uA3dE8nk,v1.0.0,Costa Rica
Lapa-Rios (Peninsula de Osa),8.400234800000002,-83.28495149999999,"CP28+32 Provincia de Puntarenas, Puerto Jiménez, Costa Rica","Puntarenas, Costa Rica",ChIJca_8u1R9pI8RTrw0plfWimk,v1.0.0,Costa Rica
"Manzanilla-Gandoca, Limón",9.612355599999999,-82.6807472,"J869+WP Limón Province, Manzanillo, Costa Rica","Limón, Costa Rica",ChIJe7jCSQtFpo8Rv6kxvJf1rAY,v1.0.0,Costa Rica
Monteverde Cloud Forest,10.2973324,-84.8255097,"75WF+WQQ, Puntarenas Province, Monteverde, Costa Rica","Puntarenas, Costa Rica",ChIJyd2-vgoZoI8RJ9g6Gz-pVWY,v1.0.1,Costa Rica
Monteverde Reserve,10.2989417,-84.7681559,"76XJ+HP Alajuela Province, San Ramón, Costa Rica","Alajuela, Costa Rica",ChIJzxHsVYcZoI8RZs7pnue4L68,v1.0.0,Costa Rica
Nayara Springs (La Fortuna),10.5030267,-84.6890019,"de, Alajuela Province, San Carlos, Costa Rica","Alajuela, Costa Rica",ChIJhz017uELoI8ReBhBgO1bJek,v1.0.0,Costa Rica
Nicuesa Lodge (Osa),8.661034599999999,-83.2796723,"MP6C+C4 Provincia de Puntarenas, Dos Rios, Costa Rica","Puntarenas, Costa Rica",ChIJudy0WqBppI8RrWE63xxJH_M,v1.0.0,Costa Rica
Osa Peninsula,8.560906,-83.46435509999999,"HG6P+97 Provincia de Puntarenas, Puerto Jiménez, Costa Rica","Puntarenas, Costa Rica",ChIJ88FtKtR7pI8RkFDjduz9n3s,v1.0.1,Costa Rica
Pacuare Lodge (Limón),10.0024731,-83.5345779,"2F28+X5 Limón, Siquirres, Costa Rica","Limón, Costa Rica",ChIJH5guQpEtp48Rk066JA2mgDM,v1.0.0,Costa Rica
Rincon de la Vieja National Park,10.7739423,-85.34998130000001,"QMF2+H2 Provincia de Guanacaste, Liberia, Costa Rica","Guanacaste, Costa Rica",ChIJQ-6xNhZ9dY8RkFBpXUPJYBo,v1.0.0,Costa Rica
"Rio Celeste, Alajuela",10.7119265,-84.92742439999999,"P36F+Q2G San Francisco de alajuela, Río Celeste, Provincia de Alajuela, Guatuso, Costa Rica","Alajuela, Costa Rica",ChIJvZWnO9msCo8RNyx3VY8CiWU,v1.0.0,Costa Rica
Santa Elena Cloud Forest,10.3437168,-84.79611349999999,"86V3+9J, Provincia de Guanacaste, Tilarán, Costa Rica","Guanacaste, Costa Rica",ChIJ_0CuD10aoI8RycGlLQifnNU,v1.0.1,Costa Rica
"Santa Rosa National Park, Guanacaste",10.8379308,-85.7051116,"R7QV+5X Provincia de Guanacaste, Hacienda Murciélago, Costa Rica","Guanacaste, Costa Rica",ChIJU_KhZF2XdY8RZ9fp-5RUCEs,v1.0.0,Costa Rica
Tabacón Thermal Resort & Spa,10.4916133,-84.7220382,"Noreste de Centro de la Fortuna de San Carlos 13 Km, Provincia de Alajuela, Nuevo Arenal, Costa Rica","Alajuela, Costa Rica",ChIJb2ZqvC0JoI8R-npEtvEYLVs,v1.0.0,Costa Rica
Tapantí National Park,9.759040899999999,-83.7836918,"Q658+JG Provincia de Cartago, Paraíso, Costa Rica","Cartago, Costa Rica",ChIJkS4oyNYhoY8RNYhlhi_qk7w,v1.0.0,Costa Rica
Tapirus Lodge (Braulio Carrillo),10.1741605,-83.9140486,"53JH+VQ Tapirus Lodge, Route 32, next to ""Braulio Carrillo National Park"", (45 min from the city of San José). / Ruta 32, junto a ""Parque Nacional Braulio Carrillo"", (45 mins de San José, Limón, Guápiles, Costa Rica","Limón, Costa Rica",ChIJGzUm7RfAoI8ROfmO-2nJeIU,v1.0.0,Costa Rica
"Venecia, San Carlos",10.357123,-84.276558,"9P4F+99Q, Alajuela Province, Venecia, Costa Rica","Alajuela, Costa Rica",ChIJ5d8nbZtioI8RwFeH5CmYz5w,v1.0.0,Costa Rica
Villa Metisse (Tamarindo),10.2926439,-85.8512301,"74VX+3G6, Guanacaste Province, Tamarindo, 50309, Costa Rica","Guanacaste, Costa Rica",ChIJfwt8QmI_no8RGHKzjgr8o5g,v1.0.0,Costa Rica
Chirripó National Park,9.5134327,-83.49462179999999,66XRGG74+95,None,ChIJT6YCHshKoY8RTAC1y4u0wGI,v1.0.0,Costa Rica
Krka National Park Waterfalls,43.8666017,15.9724838,"VX8C+JX Brištane, Croatia","Šibenik-Knin, Croatia",ChIJnTYL684tNRMRODkQ0NXU4RI,v1.0.1,Croatia
Plitvice Lakes,44.8653966,15.5820119,"VH8J+5R Plitvički Ljeskovac, Croatia","Lika-Senj, Croatia",ChIJPQ_Z_mxeYUcRcF6aN_iPGgU,v1.0.1,Croatia
Plitvice Lakes Winter,44.8653966,15.5820119,"VH8J+5R Plitvički Ljeskovac, Croatia","Lika-Senj, Croatia",ChIJPQ_Z_mxeYUcRcF6aN_iPGgU,v1.0.1,Croatia
Plitvice Lower Lakes,44.8653966,15.5820119,"VH8J+5R Plitvički Ljeskovac, Croatia","Lika-Senj, Croatia",ChIJPQ_Z_mxeYUcRcF6aN_iPGgU,v1.0.1,Croatia
Plitvice National Park,44.8653966,15.5820119,"VH8J+5R Plitvički Ljeskovac, Croatia","Lika-Senj, Croatia",ChIJPQ_Z_mxeYUcRcF6aN_iPGgU,v1.0.0,Croatia
Plitvice Upper Lakes,44.8653966,15.5820119,"VH8J+5R Plitvički Ljeskovac, Croatia","Lika-Senj, Croatia",ChIJPQ_Z_mxeYUcRcF6aN_iPGgU,v1.0.1,Croatia
Plitvice Winter Wonderland,44.9037968,15.6020493,"81, 53230, Plitvica Selo, Croatia","Ličko-senjska županija, Croatia",ChIJJd6ty7ZeYUcRnZpmiTLRkRM,v1.0.1,Croatia
Mount Nyiragongo,-1.5220378,29.2494566,"F6HX+5Q Buhumba, Democratic Republic of the Congo","North-Kivu, Democratic Republic of the Congo",ChIJCcwafUav3RkRTmzJAaZ-RG0,v1.0.0,Congo
Faroe Islands,54.9508691,11.989776,"Farøgårdsvej 1, 4793 Bogø By, Denmark",Denmark,ChIJ6-byWpnNUkYRn2NIiHbRCyQ,v1.0.1,Denmark
Secret Bay,15.5455625,-61.4725625,"GGWG+6X5, Ross Blvd, Portsmouth, Dominica","Saint John Parish, Dominica",ChIJlc6n-SvPFIwRveZ2CFPy-nM,v1.0.0,Dominica
Finch Bay Galápagos Hotel (Galápagos),-0.7530106,-90.3118438,"Barrio Punta Estrada, Puerto Ayora, Ecuador","Islas Galápagos, Ecuador",ChIJRxLey05dqpoRMOAGLSZsesc,v1.0.0,Ecuador
Galápagos Islands,-0.383106,-90.4233344,"JH8G+QM3 Isla Baltra, Ecuador","Galápagos Islands, Ecuador",ChIJzQfsO7TZIZARI65d8P5oPvs,v1.0.1,Ecuador
Mashpi Lodge,0.1659857,-78.8782851,"548C+9M La Delicia, Ecuador","Pichincha, Ecuador",ChIJd7Id9nyHKo4RN_3HkslOUNM,v1.0.0,Ecuador
Mount Sinai,28.5392576,33.9749193,"GXQF+PX3, Saint Catherine, South Sinai Governorate 8730062, Egypt","South Sinai, Egypt",ChIJz8HfMlWFVBQR9-tmpwfR9gg,v1.0.1,Egypt
Pyramids of Giza,29.9791669,31.1341998,"X4HM+MM Al Haram, Egypt","Giza, Egypt",ChIJGymPrIdFWBQRJCSloj8vDIE,v1.0.1,Egypt
Siwa Oasis,29.2031708,25.5195451,"6G39+7R7, Siwa, Marsa Matrouh Governorate 5011354, Egypt","Marsa Matrouh, Egypt",ChIJI6Xz6KyvehQRTQea8fhdM28,v1.0.1,Egypt
"The Blue Hole, Dahab",28.5728422,34.5370296,"HGFP+3Q6, Blue Hole Rd, South Sinai Governorate 8773033, Egypt","South Sinai, Egypt",ChIJaT1Yp4c1qxURL7vxxs-19Tk,v1.0.1,Egypt
Valley of the Kings,25.7401643,32.601411,"PJR2+3H Al Qarna, Egypt","Luxor, Egypt",ChIJ1_7etYo9SRQR2qnjovbMj3E,v1.0.1,Egypt
Omo Valley Tribes,5.7806372,36.5716718,"QHJC+7M3, Jinka, Ethiopia","Southern Nations, Nationalities and Peoples, Ethiopia",ChIJ6fObg9WppRcRmo4bLWattn8,v1.0.1,Ethiopia
Simien Mountains,13.492778,38.443611,"FCVV+4C Adi Selam, Ethiopia","Amhara, Ethiopia",ChIJ1TWxZKCRaRYRsv4s_00_g7E,v1.0.1,Ethiopia
Qamea Resort and Spa (Fiji),-16.757126,-179.79521,"66V3+4W Naiviivi, Fiji","Northern Division, Fiji",ChIJgXfedlke4HERaKmUtceFSsw,v1.0.0,Fiji
Calanques National Park,43.2178391,5.4430178,"6C9V+46 Marseille, France","Provence-Alpes-Côte d'Azur, France",ChIJySHEzzW4yRIRniAPBwmntxo,v1.0.0,France
Dunes of Pilat,44.5896525,-1.2133338,"HQQP+VM La Teste-de-Buch, France","Nouvelle-Aquitaine, France",ChIJM_v9TXhiUw0RqEgZetJpCEg,v1.0.1,France
Gorges de l! Hérault,43.7322675,3.5541784,"2-14 Av. Saint-Benoît d'Aniane, 34150 Saint-Guilhem-le-Désert, France","Occitanie, France",ChIJ96BlZXRZsRIRSQSQZXqNJVM,v1.0.0,France
Gorges du Verdon,43.7613593,6.3788372,"Q96H+GG La Palud-sur-Verdon, France","Provence-Alpes-Côte d'Azur, France",ChIJfbkvB735yxIRCeXMqWH0znQ,v1.0.1,France
Gorges du Verdon,43.7613593,6.3788372,"Q96H+GG La Palud-sur-Verdon, France","Provence-Alpes-Côte d'Azur, France",ChIJfbkvB735yxIRCeXMqWH0znQ,v1.0.0,France
Gorges du Verdon,43.7613593,6.3788372,"Q96H+GG La Palud-sur-Verdon, France","Provence-Alpes-Côte d'Azur, France",ChIJfbkvB735yxIRCeXMqWH0znQ,v1.0.1,France
Gorges du Verdon,43.7613593,6.3788372,"Q96H+GG La Palud-sur-Verdon, France","Provence-Alpes-Côte d'Azur, France",ChIJfbkvB735yxIRCeXMqWH0znQ,v1.0.0,France
Lascaux Cave Paintings,45.053919,1.167651,"488 Chem. de la Grotte, 24290 Montignac-Lascaux, France","Nouvelle-Aquitaine, France",ChIJ684VE2ZU_0cRptZOp3QRxhM,v1.0.1,France
Les Baux de Provence,43.743887,4.795495000000001,"9 Imp. du Château, 13520 Les Baux-de-Provence, France","Provence-Alpes-Côte d'Azur, France",ChIJIbJq2F3htRIR4ASX_aUZCAQ,v1.0.0,France
Mont Blanc,45.7590645,4.8337693,"98 Rue du Président Édouard Herriot, 69002 Lyon, France","Auvergne-Rhône-Alpes, France",ChIJY0ml_1Pq9EcRNbz3BnrASeU,v1.0.1,France
Mont Saint-Michel,48.636063,-1.511457,"1 L'Abbaye, 50170 Le Mont-Saint-Michel, France","Normandie, France",ChIJs-6cfNaoDkgR_sMNfuRMg8U,v1.0.1,France
Provence,44.0144936,6.2116438,"D907, 04270 Châteauredon, France","Provence-Alpes-Côte d'Azur, France",ChIJrfXgyd9_9EcRLfa1mDr77kQ,v1.0.0,France
Tour du Mont Blanc (Refuge du Col de Croix du Bonhomme),45.7221619,6.7173772,"PPC8+VX Bourg-Saint-Maurice, France","Auvergne-Rhône-Alpes, France",ChIJd0NvPeldiUcRS4eISazBHb8,v1.0.0,France
The Brando (Tahiti),-17.0227819,-149.5959077,"Onetahi, XCG3+QF7, Arue, French Polynesia","Îles du Vent, French Polynesia",ChIJUWiPJxOnkHYR5op_8Zwx0lI,v1.0.0,French Polynesia
Svaneti Region,42.7352247,42.1689362,"P5P9+3H Jvari, Georgia","Samegrelo-Zemo Svaneti, Georgia",ChIJuUs5c_sFXEARz-X5Z_bmUvs,v1.0.1,Georgia
Bavarian Forest National Park,48.9880011,13.3841033,"X9QM+6J Frauenau, Germany","Bavaria, Germany",ChIJjeMrjNTYdEcRghyziS8v3fE,v1.0.1,Germany
Black Forest,48.2774862,8.185997,"75GP+X9 Gutach, Germany","Baden-Württemberg, Germany",ChIJvZEXLyPskEcR8e2Hrsi-4ts,v1.0.1,Germany
Neuschwanstein Castle,47.557574,10.7498004,"Neuschwansteinstraße 20, 87645 Schwangau, Germany","Bayern, Germany",ChIJXaNOxMr3nEcRo7ud02uGpsg,v1.0.1,Germany
Neuschwanstein Castle,47.557574,10.7498004,"Neuschwansteinstraße 20, 87645 Schwangau, Germany","Bayern, Germany",ChIJXaNOxMr3nEcRo7ud02uGpsg,v1.0.0,Germany
Neuschwanstein Castle,47.557574,10.7498004,"Neuschwansteinstraße 20, 87645 Schwangau, Germany","Bayern, Germany",ChIJXaNOxMr3nEcRo7ud02uGpsg,v1.0.1,Germany
Neuschwanstein Castle,47.557574,10.7498004,"Neuschwansteinstraße 20, 87645 Schwangau, Germany","Bayern, Germany",ChIJXaNOxMr3nEcRo7ud02uGpsg,v1.0.0,Germany
Obersee,47.5170945,12.9861385,"GX8P+RF Schönau am Königssee, Germany","Bavaria, Germany",ChIJUUkVXbnodkcREj-gw3mj_Vs,v1.0.0,Germany
Meteora Monasteries,39.7217044,21.6305896,"Epar.Od. Kalampaka 1, Trikala 421 00, Greece",Greece,ChIJOX8y6K4PWRMR_zK82NStJ3E,v1.0.1,Greece
Mount Olympus,40.08874040000001,22.3589285,"39Q5+FH Litochoro, Greece",Greece,ChIJvQx0u8ITWBMR6aa4jWgilbk,v1.0.1,Greece
Navagio Beach (Ionian Islands),37.8594645,20.6249001,"VJ5F+QX Elation, Greece",Greece,ChIJ4QpUwoxrZxMR7opYdYvoPng,v1.0.0,Greece
Santorini Caldera,36.395556,25.459167,"9FW5+6M Vothonas, Greece",Greece,ChIJ8ZIksA_OmRQRF3Zgm9HaoaQ,v1.0.1,Greece
Ilulissat Icefjord,69.1671113,-50.5366601,98XF5F87+R8,None,ChIJtSIAVW5X7U4RPJS2Ty8mZfQ,v1.0.1,Greenland (Qaasuitsup)
Ilulissat Icefjord Northern Lights,69.0933861,-49.4307336,98XG3HV9+9P,None,ChIJGfeHLMg_7U4Rn6zZLhgAX18,v1.0.1,Greenland (Qaasuitsup)
Ilulissat Icefjord Midnight Sun,69.2171142,-51.12260149999999,"Jørgen Sverdrup'ip Aqq. 10, Ilulissat 3952, Greenland",Greenland,ChIJBxhy4sut8k4RqAU6jSphxRA,v1.0.1,Greenland (Unknown)
Tikal Ruins,17.2220409,-89.6236995,"Templo II, Tikal, Guatemala","Petén, Guatemala",ChIJc8ZiAsumX48RVRE-8jzDyd4,v1.0.1,Guatemala
Tikal Temple IV Sunrise,17.2237533,-89.6301106,"Templo IV, Tikal, Guatemala","Petén, Guatemala",ChIJUd3DoDahX48RiglwMNpYJ3w,v1.0.1,Guatemala
Blue Lagoon,63.8807176,-22.4472964,"VHJ3+73 Grindavik, Iceland","Grindavíkurbær, Iceland",ChIJDd_3r2Yd1kgRbvAWRIl6dPM,v1.0.1,Iceland
Blue Lagoon,63.8807176,-22.4472964,"VHJ3+73 Grindavik, Iceland","Grindavíkurbær, Iceland",ChIJDd_3r2Yd1kgRbvAWRIl6dPM,v1.0.1,Iceland
Blue Lagoon,63.8807176,-22.4472964,"VHJ3+73 Grindavik, Iceland","Grindavíkurbær, Iceland",ChIJDd_3r2Yd1kgRbvAWRIl6dPM,v1.0.1,Iceland
Blue Lagoon,63.8807176,-22.4472964,"VHJ3+73 Grindavik, Iceland","Grindavíkurbær, Iceland",ChIJDd_3r2Yd1kgRbvAWRIl6dPM,v1.0.1,Iceland
Laugavegur Trail,63.7905197,-19.3196173,"Laugavegur, 861, Iceland","Rangárþing eystra, Iceland",ChIJ7aCzGBcq10gRZpcWAbomlr4,v1.0.1,Iceland
Seljalandsfoss,63.61562319999999,-19.9885688,"Seljalandsfoss, 249, 861, Iceland","Rangárþing eystra, Iceland",ChIJFSTv6K0e10gRjRcJUiDmAa4,v1.0.0,Iceland
Eyjafjallajokull Volcano,63.6311912,-19.60861,9CM2J9JR+FH,None,ChIJf3Fy1HEk10gRuAML7whdYeQ,v1.0.0,Iceland
Highlands,64.963051,-19.020835,9CP2XX7H+6M,None,ChIJQ2Dro1Ir0kgRmkXB5TQEim8,v1.0.0,Iceland
Jokulsarlon Beach,64.0784458,-16.2305537,9CP53QH9+9Q,None,ChIJGTg61-zWz0gRqUYB4VnJBc0,v1.0.0,Iceland
Jökulsárlón Glacier Lagoon,64.0784458,-16.2305537,9CP53QH9+9Q,None,ChIJGTg61-zWz0gRqUYB4VnJBc0,v1.0.1,Iceland
Jökulsárlón Glacier Lagoon,64.0784458,-16.2305537,9CP53QH9+9Q,None,ChIJGTg61-zWz0gRqUYB4VnJBc0,v1.0.1,Iceland
Skaftafell Ice Cave,64.0268002,-16.9171873,9CP523GM+P4,None,ChIJ10-7T9g10EgR3Olukc-IOx0,v1.0.0,Iceland
Skogafoss,63.5320523,-19.5113705,9CM2GFJQ+RF,None,ChIJFYylOXY710gRSHn-zR_HYA8,v1.0.0,Iceland
Thingvellir National Park,64.2821725,-21.0764492,99PW7WJF+VC7W,None,ChIJe2kT-x-B1kgR8mKSB4tsdWs,v1.0.1,Iceland
Thorsmork Valley,63.68071999999999,-19.482622,9CM2MGJ8+7X,None,ChIJ_YcNkv8l10gRu2Yt0wffHm4,v1.0.1,Iceland
Vatnajökull Glacier,64.42196899999999,-16.7902035,9CP5C6C5+QW,None,ChIJ26L9HMDZ0UgRBvPLGXYASIk,v1.0.1,Iceland
The Great Himalayan National Park,31.7985414,77.51601339999999,"QGX8+CC Mashyar, Himachal Pradesh, India","Himachal Pradesh, India",ChIJJTeWOVU0BDkRQgQ5XltQMDk,v1.0.1,India (Himachal Pradesh)
Kanha National Park,22.2994956,80.5864278,"7HXP+QH Kanha Kisli F.V., Madhya Pradesh, India","Madhya Pradesh, India",ChIJ8yPdxFsIKjoRTGojx6saE1k,v1.0.1,India (Madhya Pradesh)
