Attraction,Latitude,Longitude,Address,Hierarchy,Region,Country,Place,id,Version
Bosque Eterno de los Niños (Monteverde),10.3400494,-84.7002041,"87RX+2W Alajuela Province, San Ramón, Costa Rica","Alajuela, Costa Rica",Alajuela,Costa Rica,Costa Rica,ChIJiSmLcYQZoI8RLyawmHsQYWY,v1.0.2
Casa Cenote Manati (Yucatan),20.2661151,-87.3910293,"Carretera Federal 307 , Km 263, 77772 Q.R., Mexico","Quintana Roo, Mexico",Quintana Roo,Mexico,Mexico (Quintana Roo),ChIJJ93AgjrTT48R_HxP3Rh_4WA,v1.0.2
Cenote Dos Ojos (Yucatan),20.3250063,-87.39081399999999,"Carretera Cancún Tulum kilómetro 244+500 metros ejido Jacinto Pat entrada dos ojos comunidad muuchximbal área científica, 77774 Q.R., Mexico","Quintana Roo, Mexico",Quintana Roo,Mexico,Mexico (Quintana Roo),ChIJ3bHaTUUtTo8R6FlVhvaTBzE,v1.0.2
Cenote Kaan Luum (Yucatan),20.1624527,-87.55399299999999,"5C6W+XC Chumkopó, Q.R., Mexico","Quintana Roo, Mexico",Quintana Roo,Mexico,Mexico (Quintana Roo),ChIJgTQhxTMoUI8R6NkHj0toHsk,v1.0.2
Cenote Ojo de Agua (Yucatan),20.6718456,-87.0307993,"MXC9+F2, 77727 Playa del Carmen, Quintana Roo, Mexico","Quintana Roo, Mexico",Quintana Roo,Mexico,Mexico (Quintana Roo),ChIJc00pTa9dTo8RjJeXKiIjJd0,v1.0.2
Cenote Suytun Ana (Yucatan),20.6988823,-88.1245639,"MVXG+H5 Tikuch, Yuc., Mexico","Yucatán, Mexico",Yucatán,Mexico,Mexico (Yucatán),ChIJgUUxAkwLUY8R9jmV2-1HzpU,v1.0.2
